schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,a_00102_admin_data,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00102_admin_vector,00102_admin_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00102_admin_vector,00102_admin_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00102_admin_vector,admin_delete_access,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00102_admin_vector,admin_insert_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))"
public,a_00102_admin_vector,admin_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00102_admin_vector,authenticated_read_access,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00102_admin_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00102_admin_vector,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00105_travel_vector,00105_travel_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00105_travel_vector,00105_travel_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00106_timesheet_vector,00106_timesheet_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00106_timesheet_vector,00106_timesheet_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00200_commercial_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00300_construction_vector,00300_construction_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00300_construction_vector,00300_construction_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00300_construction_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00425_contracts_pre_vector,00425_contracts_pre_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00425_contracts_pre_vector,00425_contracts_pre_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00435_contracts_post_data,contracts_post_data_policy,PERMISSIVE,public,ALL,"((created_by = auth.uid()) OR (organization_id IN ( SELECT a_00435_contracts_post_data.organization_id
   FROM auth.users
  WHERE (users.id = auth.uid()))) OR ((contract_status)::text = 'active'::text))",null
public,a_00435_contracts_post_data,contracts_post_data_read_policy,PERMISSIVE,public,SELECT,(auth.uid() IS NOT NULL),null
public,a_00435_contracts_post_data,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00435_contracts_post_vector,00435_contracts_post_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00435_contracts_post_vector,00435_contracts_post_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00435_contracts_post_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00435_contracts_post_vector,temp_allow_all_vectors,PERMISSIVE,public,ALL,true,null
public,a_00825_architectural_vector,00825_architectural_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00825_architectural_vector,00825_architectural_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00825_architectural_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00835_chemeng_vector,00835_chemeng_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00835_chemeng_vector,00835_chemeng_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00835_chemeng_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00850_civileng_vector,00850_civileng_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00850_civileng_vector,00850_civileng_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00850_civileng_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00860_eleceng_vector,00860_eleceng_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00860_eleceng_vector,00860_eleceng_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00860_eleceng_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00870_mecheng_vector,00870_mecheng_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00870_mecheng_vector,00870_mecheng_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00870_mecheng_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00871_processeng_vector,00871_processeng_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00871_processeng_vector,00871_processeng_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00872_developer_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00875_sales_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00877_sundry_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00880_boarddir_vector,00880_boarddir_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00880_boarddir_vector,00880_boarddir_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00880_boarddir_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00882_dirconst_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00883_dircontracts_vector,00883_dircontracts_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00883_dircontracts_vector,00883_dircontracts_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00883_dircontracts_vector,a_00883_dircontracts_vector_emergency_auth,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00883_dircontracts_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00884_1_dirfinance_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00884_direng_vector,00884_direng_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00884_direng_vector,00884_direng_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00884_direng_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00885_dirhse_vector,00885_dirhse_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00885_dirhse_vector,00885_dirhse_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00885_dirhse_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00886_dirlogistics_vector,00886_dirlogistics_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00886_dirlogistics_vector,00886_dirlogistics_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00886_dirlogistics_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00888_dirprocurement_vector,00888_dirprocurement_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00888_dirprocurement_vector,00888_dirprocurement_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00888_dirprocurement_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00889_dirfinance_vector,00889_dirfinance_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00889_dirfinance_vector,00889_dirfinance_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00890_dirprojects_vector,00890_dirprojects_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00890_dirprojects_vector,00890_dirprojects_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00890_dirprojects_vector,a_00890_dirprojects_vector_emergency_auth,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00890_dirprojects_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00895_dirproject_vector,a_00895_dirproject_vector_emergency_auth,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00895_dirproject_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_approval_rule_steps,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_approval_rules,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_approvals,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_data,admin_delete_access,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_data,delete_0900_data,PERMISSIVE,public,DELETE,"(document_id IN ( SELECT a_00900_doccontrol_documents.id
   FROM a_00900_doccontrol_documents
  WHERE ((auth.uid() = a_00900_doccontrol_documents.uploaded_by) OR (EXISTS ( SELECT 1
           FROM user_management
          WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))))",null
public,a_00900_doccontrol_data,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_data,insert_0900_data,PERMISSIVE,public,INSERT,null,"(document_id IN ( SELECT a_00900_doccontrol_documents.id
   FROM a_00900_doccontrol_documents
  WHERE ((auth.uid() = a_00900_doccontrol_documents.uploaded_by) OR (EXISTS ( SELECT 1
           FROM user_management
          WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))))"
public,a_00900_doccontrol_data,organization_create_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_data.organization_id)::text))))"
public,a_00900_doccontrol_data,organization_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_data.organization_id)::text))))",null
public,a_00900_doccontrol_data,organization_view_access,PERMISSIVE,public,SELECT,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_data.organization_id)::text))))",null
public,a_00900_doccontrol_data,select_0900_data,PERMISSIVE,public,SELECT,"(document_id IN ( SELECT a_00900_doccontrol_documents.id
   FROM a_00900_doccontrol_documents
  WHERE (EXISTS ( SELECT 1
           FROM user_management
          WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text))))))",null
public,a_00900_doccontrol_data,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00900_doccontrol_data,update_0900_data,PERMISSIVE,public,UPDATE,"(document_id IN ( SELECT a_00900_doccontrol_documents.id
   FROM a_00900_doccontrol_documents
  WHERE ((auth.uid() = a_00900_doccontrol_documents.uploaded_by) OR (EXISTS ( SELECT 1
           FROM user_management
          WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))))","(document_id IN ( SELECT a_00900_doccontrol_documents.id
   FROM a_00900_doccontrol_documents
  WHERE ((auth.uid() = a_00900_doccontrol_documents.uploaded_by) OR (EXISTS ( SELECT 1
           FROM user_management
          WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))))"
public,a_00900_doccontrol_document_embeddings,admin_delete_access,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_document_embeddings,admin_insert_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))"
public,a_00900_doccontrol_document_embeddings,admin_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_document_embeddings,authenticated_read_access,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00900_doccontrol_document_embeddings,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_document_embeddings,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00900_doccontrol_document_versions,admin_delete_access,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_document_versions,admin_insert_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))"
public,a_00900_doccontrol_document_versions,admin_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_document_versions,authenticated_read_access,PERMISSIVE,public,SELECT,(auth.role() = 'authenticated'::text),null
public,a_00900_doccontrol_document_versions,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_document_versions,organization_create_access,PERMISSIVE,public,INSERT,null,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_document_versions.organization_id)::text))))"
public,a_00900_doccontrol_document_versions,organization_update_access,PERMISSIVE,public,UPDATE,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_document_versions.organization_id)::text))))",null
public,a_00900_doccontrol_document_versions,organization_view_access,PERMISSIVE,public,SELECT,"(EXISTS ( SELECT 1
   FROM user_organization_access uoa
  WHERE ((uoa.user_id = (auth.uid())::text) AND (uoa.organization_id = (a_00900_doccontrol_document_versions.organization_id)::text))))",null
public,a_00900_doccontrol_document_versions,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00900_doccontrol_documents,admin_override_access,PERMISSIVE,public,ALL,"(EXISTS ( SELECT 1
   FROM user_role_assignments ura
  WHERE ((ura.user_id = auth.uid()) AND ((ura.role_name)::text = ANY ((ARRAY['admin'::character varying, 'information_technology_manager'::character varying])::text[])) AND (ura.is_active = true))))",null
public,a_00900_doccontrol_documents,delete_documents,PERMISSIVE,public,DELETE,"((auth.uid() = uploaded_by) OR (EXISTS ( SELECT 1
   FROM user_management
  WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))",null
public,a_00900_doccontrol_documents,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_documents,insert_documents,PERMISSIVE,public,INSERT,null,"((auth.uid() = uploaded_by) AND (EXISTS ( SELECT 1
   FROM user_management
  WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))"
public,a_00900_doccontrol_documents,owner_access,PERMISSIVE,public,ALL,((user_id)::text = (auth.uid())::text),null
public,a_00900_doccontrol_documents,select_documents,PERMISSIVE,public,SELECT,"(EXISTS ( SELECT 1
   FROM user_management
  WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text))))",null
public,a_00900_doccontrol_documents,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00900_doccontrol_documents,update_documents,PERMISSIVE,public,UPDATE,"((auth.uid() = uploaded_by) OR (EXISTS ( SELECT 1
   FROM user_management
  WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))","((auth.uid() = uploaded_by) OR (EXISTS ( SELECT 1
   FROM user_management
  WHERE ((user_management.user_id = auth.uid()) AND (user_management.role = 'admin'::text)))))"
public,a_00900_doccontrol_langchain_jobs,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_doccontrol_vector,00900_doccontrol_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_00900_doccontrol_vector,00900_doccontrol_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_00900_doccontrol_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_user_langchain_settings,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_00900_user_langchain_settings,service_role_full_access,PERMISSIVE,public,ALL,(auth.role() = 'service_role'::text),null
public,a_00test,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01000_environmental_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01100_ethics_vector,01100_ethics_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01100_ethics_vector,01100_ethics_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01100_ethics_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01200_finance_vector,01200_finance_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01200_finance_vector,01200_finance_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01200_finance_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01300_governance_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01400_health_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01500_hr_candidate_evaluation,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01500_hr_vector,01500_hr_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01500_hr_vector,01500_hr_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01500_hr_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01600_localcontent_vector,01600_localcontent_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01600_localcontent_vector,01600_localcontent_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01600_localcontent_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01700_logistics_vector,01700_logistics_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01700_logistics_vector,01700_logistics_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01700_logistics_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01750_legal_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01800_operations_vector,01800_operations_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01800_operations_vector,01800_operations_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01800_operations_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01850_otherparties_vector,01850_otherparties_private_access,PERMISSIVE,public,ALL,(((access_scope)::text = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01850_otherparties_vector,01850_otherparties_shared_access,PERMISSIVE,public,SELECT,"(((access_scope)::text = ANY ((ARRAY['shared'::character varying, 'public'::character varying])::text[])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01850_otherparties_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_01900_procurement_vector,01900_procurement_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_01900_procurement_vector,01900_procurement_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_01900_procurement_vector,basic_procurement_access,PERMISSIVE,public,ALL,"((created_by_user_id = auth.uid()) OR (access_scope = ANY (ARRAY['public'::text, 'shared'::text])))",null
public,a_01900_procurement_vector,procurement_access_with_agents,PERMISSIVE,public,ALL,"(((EXISTS ( SELECT 1
   FROM agent_profiles ap
  WHERE ((ap.id = auth.uid()) AND ((ap.user_type = 'human'::text) OR (ap.user_type IS NULL))))) AND ((created_by_user_id = auth.uid()) OR (access_scope = ANY (ARRAY['public'::text, 'shared'::text])))) OR ((EXISTS ( SELECT 1
   FROM agent_profiles ap
  WHERE ((ap.id = auth.uid()) AND (ap.user_type = 'agent'::text)))) AND ((evaluate_agent_permission(auth.uid(), 'vector'::text, id, 'read'::text) ->> 'allowed'::text) = 'true'::text)))",null
public,a_02000_projctrl_vector,02000_projctrl_private_access,PERMISSIVE,public,ALL,((access_scope = 'private'::text) AND ((created_by_user_id)::text = (auth.uid())::text)),null
public,a_02000_projctrl_vector,02000_projctrl_shared_access,PERMISSIVE,public,SELECT,"((access_scope = ANY (ARRAY['shared'::text, 'public'::text])) OR ((created_by_user_id)::text = (auth.uid())::text))",null
public,a_02025_invoice_processing,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_02025_qs_data,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_02025_qs_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
public,a_02035_scheduling_vector,dev_mode_full_access,PERMISSIVE,public,ALL,is_dev_mode(),null
